metricDescriptorId,datetime,max,avg,min,count,physicalQuantity,axis,source,statisticalProcessing,parametro
668febb557480af249f91a86,2024-09-03T22:31:50.000Z,13.095999717712402,3.3408439026938543,0.255057543516159,9,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-04T00:01:50.000Z,51.101558685302734,8.503232120381048,0.1293161958456039,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-06T00:01:50.000Z,34.03651809692383,8.231984982396373,0.102630577981472,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-08T00:01:50.000Z,24.39009666442871,8.423475943091843,0.1685502827167511,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-10T00:01:50.000Z,27.14804458618164,9.026620423566577,0.1175111755728721,282,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-12T00:03:12.000Z,47.79105758666992,7.849735096562654,0.1262562721967697,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-14T00:03:12.000Z,28.09882354736328,6.365281687906156,0.1756869852542877,286,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-16T00:09:12.000Z,25.928346633911133,8.688379924071747,0.1894127279520034,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-18T00:09:12.000Z,35.35700988769531,5.200366045296606,0.1845955103635788,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-20T00:09:12.000Z,35.456199645996094,7.372407594354639,0.1296707987785339,284,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-22T00:04:48.000Z,19.306394577026367,3.298524972517044,0.1359083950519561,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-24T00:04:48.000Z,24.593263626098636,2.5087455867582724,0.129816934466362,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-26T00:04:48.000Z,29.439987182617188,7.255247948536028,0.134431704878807,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-28T00:04:48.000Z,24.50395774841309,7.244403418350978,0.1856048703193664,283,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-09-30T00:08:15.000Z,21.662288665771484,1.848775922941665,0.1573241949081421,144,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-01T00:08:15.000Z,31.819698333740234,5.3938145590563344,0.2183396816253662,146,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-02T00:02:28.000Z,25.71214866638184,8.324179608167874,0.1432565748691558,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-04T00:02:28.000Z,32.28925704956055,7.693255239693852,0.1370301693677902,286,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-06T00:09:43.000Z,20.479820251464844,2.121380482323286,0.1012653931975364,287,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-08T00:05:17.000Z,9.76378059387207,0.5083717780912088,0.1915792375802993,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-10T00:05:17.000Z,0.8044573068618774,0.3727976858822835,0.1658739447593689,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-12T00:05:17.000Z,0.8560337424278259,0.3554710549198919,0.157517597079277,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-14T00:05:17.000Z,26.940963745117188,3.2576192828516164,0.1460066437721252,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-16T00:05:17.000Z,27.8826847076416,7.634097015769738,0.1226994320750236,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-18T00:05:17.000Z,45.76694869995117,8.104492135449416,0.195981964468956,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-20T00:05:17.000Z,32.75893020629883,6.764713005769295,0.124461755156517,281,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-22T00:08:11.000Z,34.05389404296875,8.668000078346166,0.1113397851586341,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-24T00:08:11.000Z,46.37729644775391,7.1568190939724445,0.1268045753240585,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-26T00:08:11.000Z,29.28561210632324,7.203985492854069,0.1260459274053573,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-28T00:08:11.000Z,28.302608489990234,5.744002445393966,0.141081690788269,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-10-30T00:08:11.000Z,29.68317413330078,5.130123126786202,0.1470170766115188,288,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-11-01T00:08:11.000Z,9.694647789001465,0.5211312369339995,0.1786032319068908,144,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a86,2024-11-02T00:08:11.000Z,19.03485870361328,1.710227414164492,0.2567262947559356,93,velocity,x,dynamox-dyna-logger,rms,velocity_x
668febb557480af249f91a91,2024-09-03T22:31:50.000Z,11.444622993469238,3.204742758638329,0.1091379597783088,9,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-04T00:01:50.000Z,48.16110229492188,9.074133154056552,0.0953636839985847,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-06T00:01:50.000Z,38.20756149291992,8.753479037537343,0.1035611629486084,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-08T00:01:50.000Z,25.118675231933597,8.85669580880656,0.1096176430583,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-10T00:01:50.000Z,55.462921142578125,10.245933116274946,0.1085763424634933,282,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-12T00:03:12.000Z,45.44731903076172,8.342269968784725,0.1097133755683898,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-14T00:03:12.000Z,48.58658599853516,7.412634799790966,0.1266476809978485,286,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-16T00:09:12.000Z,65.82615661621094,9.893261836738224,0.1248208433389663,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-18T00:09:12.000Z,39.63698959350586,5.544012520022483,0.1096846610307693,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-20T00:09:12.000Z,39.67436218261719,8.586813564320476,0.0934585332870483,284,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-22T00:04:48.000Z,42.25248718261719,3.583386061273308,0.0947431400418281,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-24T00:04:48.000Z,24.90121078491211,2.5474359653890133,0.0687400847673416,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-26T00:04:48.000Z,33.930355072021484,8.198700475480614,0.0972265973687172,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-28T00:04:48.000Z,44.5820198059082,8.06272891292829,0.0911613777279853,283,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-09-30T00:08:15.000Z,17.951993942260742,1.937400629847414,0.1579781323671341,144,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-10-01T00:08:15.000Z,27.55112075805664,5.793333928878993,0.1227047443389892,146,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-10-02T00:02:28.000Z,31.102785110473636,9.019126992957252,0.0728272646665573,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-10-04T00:02:28.000Z,35.77449417114258,8.482890964518269,0.0930344387888908,286,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-10-06T00:09:43.000Z,31.371288299560547,2.3740543115897044,0.0983877182006836,287,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-10-08T00:05:17.000Z,18.422103881835938,0.4677149923259599,0.1015580594539642,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
668febb557480af249f91a91,2024-10-10T00:05:17.000Z,0.7627532482147217,0.3401353875589039,0.1676118522882461,288,velocity,y,dynamox-dyna-logger,rms,velocity_y
