metricDescriptorId,resourceId,desc_attributes,desc
668febb557480af249f91a86,668febb5b059577b39e5fa09,velocity x,EM3401 Bomba Secção P1
668febb557480af249f91a91,668febb5b059577b39e5fa09,velocity y,EM3401 Bomba Secção P1
668febb557480af249f91a9c,668febb5b059577b39e5fa09,velocity z,EM3401 Bomba Secção P1
668febb557480af249f91aa7,668febb5b059577b39e5fa09,temperature,EM3401 Bomba Secção P1
668febb557480af249f91ab2,668febb5b059577b39e5fa09,acceleration x,EM3401 Bomba Secção P1
668febb557480af249f91abd,668febb5b059577b39e5fa09,acceleration y,EM3401 Bomba Secção P1
668febb557480af249f91ac9,668febb5b059577b39e5fa09,acceleration z,EM3401 Bomba Secção P1
668febb357480af249f913de,668febb2a9700b05a71ca37d,velocity x,EM3401 Bomba Secção P2
668febb357480af249f913e9,668febb2a9700b05a71ca37d,velocity y,EM3401 Bomba Secção P2
668febb357480af249f913f5,668febb2a9700b05a71ca37d,velocity z,EM3401 Bomba Secção P2
668febb357480af249f91400,668febb2a9700b05a71ca37d,temperature,EM3401 Bomba Secção P2
668febb357480af249f9140b,668febb2a9700b05a71ca37d,acceleration x,EM3401 Bomba Secção P2
668febb357480af249f91421,668febb2a9700b05a71ca37d,acceleration y,EM3401 Bomba Secção P2
668febb357480af249f91432,668febb2a9700b05a71ca37d,acceleration z,EM3401 Bomba Secção P2
668ff6e757480af2491a727c,668ff6e6765a3c089d872db8,temperature,EM3401 Motor de Translação LD
668ff6e757480af2491a7287,668ff6e6765a3c089d872db8,acceleration x,EM3401 Motor de Translação LD
668ff6e757480af2491a7292,668ff6e6765a3c089d872db8,acceleration y,EM3401 Motor de Translação LD
668ff6e757480af2491a729d,668ff6e6765a3c089d872db8,acceleration z,EM3401 Motor de Translação LD
668ff6e757480af2491a72a8,668ff6e6765a3c089d872db8,velocity x,EM3401 Motor de Translação LD
668ff6e757480af2491a72b3,668ff6e6765a3c089d872db8,velocity y,EM3401 Motor de Translação LD
668ff6e757480af2491a72be,668ff6e6765a3c089d872db8,velocity z,EM3401 Motor de Translação LD
668ff6ea57480af2491a76ac,668ff6e9a9700bbff21ca91c,temperature,EM3401 Motor de Translação LE
668ff6ea57480af2491a76b7,668ff6e9a9700bbff21ca91c,acceleration x,EM3401 Motor de Translação LE
668ff6ea57480af2491a76c3,668ff6e9a9700bbff21ca91c,acceleration y,EM3401 Motor de Translação LE
668ff6ea57480af2491a76ce,668ff6e9a9700bbff21ca91c,acceleration z,EM3401 Motor de Translação LE
668ff6ea57480af2491a76d9,668ff6e9a9700bbff21ca91c,velocity x,EM3401 Motor de Translação LE
668ff6ea57480af2491a76e4,668ff6e9a9700bbff21ca91c,velocity y,EM3401 Motor de Translação LE
668ff6ea57480af2491a76f0,668ff6e9a9700bbff21ca91c,velocity z,EM3401 Motor de Translação LE
668ff96057480af24921c3e0,668ff96083c61336dd517c5d,temperature,EM3401 Cilindro Boom LD
668ff96057480af24921c3ef,668ff96083c61336dd517c5d,acceleration x,EM3401 Cilindro Boom LD
668ff96057480af24921c3ff,668ff96083c61336dd517c5d,acceleration y,EM3401 Cilindro Boom LD
668ff96057480af24921c40a,668ff96083c61336dd517c5d,acceleration z,EM3401 Cilindro Boom LD
668ff96057480af24921c420,668ff96083c61336dd517c5d,velocity x,EM3401 Cilindro Boom LD
668ff96057480af24921c433,668ff96083c61336dd517c5d,velocity y,EM3401 Cilindro Boom LD
668ff96057480af24921c43e,668ff96083c61336dd517c5d,velocity z,EM3401 Cilindro Boom LD
66cf8259e9be161f16e1327c,66cf825924e3d86b465ec589,acceleration x,EM3401 Cilindro Boom LE
66cf8259e9be161f16e1328b,66cf825924e3d86b465ec589,acceleration y,EM3401 Cilindro Boom LE
66cf8259e9be161f16e1329c,66cf825924e3d86b465ec589,acceleration z,EM3401 Cilindro Boom LE
66cf8259e9be161f16e132a7,66cf825924e3d86b465ec589,temperature,EM3401 Cilindro Boom LE
66cf8259e9be161f16e132b3,66cf825924e3d86b465ec589,velocity x,EM3401 Cilindro Boom LE
66cf8259e9be161f16e132be,66cf825924e3d86b465ec589,velocity y,EM3401 Cilindro Boom LE
66cf8259e9be161f16e132c9,66cf825924e3d86b465ec589,velocity z,EM3401 Cilindro Boom LE
668fe7e957480af249edd914,668fe7e938e2532db463d8b6,velocity x,EM3401 Rolamento Giro Frontal
668fe7e957480af249edd921,668fe7e938e2532db463d8b6,velocity y,EM3401 Rolamento Giro Frontal
668fe7e957480af249edd933,668fe7e938e2532db463d8b6,velocity z,EM3401 Rolamento Giro Frontal
668fe7e957480af249edd944,668fe7e938e2532db463d8b6,temperature,EM3401 Rolamento Giro Frontal
668fe7e957480af249edd94f,668fe7e938e2532db463d8b6,acceleration x,EM3401 Rolamento Giro Frontal
668fe7e957480af249edd95a,668fe7e938e2532db463d8b6,acceleration y,EM3401 Rolamento Giro Frontal
668fe7e957480af249edd965,668fe7e938e2532db463d8b6,acceleration z,EM3401 Rolamento Giro Frontal
668fe7eb57480af249ede038,668fe7eba9700bf2361ca195,velocity x,EM3401 Rolamento Giro Traseiro
668fe7eb57480af249ede043,668fe7eba9700bf2361ca195,velocity y,EM3401 Rolamento Giro Traseiro
668fe7eb57480af249ede04e,668fe7eba9700bf2361ca195,velocity z,EM3401 Rolamento Giro Traseiro
668fe7eb57480af249ede059,668fe7eba9700bf2361ca195,temperature,EM3401 Rolamento Giro Traseiro
668fe7eb57480af249ede064,668fe7eba9700bf2361ca195,acceleration x,EM3401 Rolamento Giro Traseiro
668fe7eb57480af249ede074,668fe7eba9700bf2361ca195,acceleration y,EM3401 Rolamento Giro Traseiro
668fe7eb57480af249ede084,668fe7eba9700bf2361ca195,acceleration z,EM3401 Rolamento Giro Traseiro
66dedf892718e8b99c5c5d62,66dedf8945d1a4943a5c84c6,acceleration x,6030 6P3000111_Redutor Giro LE
66dedf892718e8b99c5c5d6d,66dedf8945d1a4943a5c84c6,acceleration y,6030 6P3000111_Redutor Giro LE
66dedf892718e8b99c5c5d78,66dedf8945d1a4943a5c84c6,acceleration z,6030 6P3000111_Redutor Giro LE
66dedf892718e8b99c5c5d88,66dedf8945d1a4943a5c84c6,temperature,6030 6P3000111_Redutor Giro LE
66dedf892718e8b99c5c5d97,66dedf8945d1a4943a5c84c6,velocity x,6030 6P3000111_Redutor Giro LE
66dedf892718e8b99c5c5da2,66dedf8945d1a4943a5c84c6,velocity y,6030 6P3000111_Redutor Giro LE
66dedf892718e8b99c5c5dad,66dedf8945d1a4943a5c84c6,velocity z,6030 6P3000111_Redutor Giro LE
66ddd6672718e8b99c220884,66ddd667ea40c41c2eee6f05,acceleration x,EM3401 Motor Redutor de Giro Dianteiro
66ddd6672718e8b99c22088f,66ddd667ea40c41c2eee6f05,acceleration y,EM3401 Motor Redutor de Giro Dianteiro
66ddd6672718e8b99c22089a,66ddd667ea40c41c2eee6f05,acceleration z,EM3401 Motor Redutor de Giro Dianteiro
66ddd6672718e8b99c2208a5,66ddd667ea40c41c2eee6f05,velocity x,EM3401 Motor Redutor de Giro Dianteiro
66ddd6672718e8b99c2208b0,66ddd667ea40c41c2eee6f05,velocity y,EM3401 Motor Redutor de Giro Dianteiro
66ddd6672718e8b99c2208bb,66ddd667ea40c41c2eee6f05,velocity z,EM3401 Motor Redutor de Giro Dianteiro
66ddd6672718e8b99c2208c8,66ddd667ea40c41c2eee6f05,temperature,EM3401 Motor Redutor de Giro Dianteiro
66d70a352718e8b99cb0bb9f,66d70a35a6119ffc0cd30d32,acceleration x,EM3401 Motor Redutor de Giro Traseiro
66d70a352718e8b99cb0bbaa,66d70a35a6119ffc0cd30d32,acceleration y,EM3401 Motor Redutor de Giro Traseiro
66d70a352718e8b99cb0bbb5,66d70a35a6119ffc0cd30d32,acceleration z,EM3401 Motor Redutor de Giro Traseiro
66d70a352718e8b99cb0bbc2,66d70a35a6119ffc0cd30d32,temperature,EM3401 Motor Redutor de Giro Traseiro
66d70a352718e8b99cb0bbd4,66d70a35a6119ffc0cd30d32,velocity x,EM3401 Motor Redutor de Giro Traseiro
66d70a352718e8b99cb0bbe0,66d70a35a6119ffc0cd30d32,velocity y,EM3401 Motor Redutor de Giro Traseiro
66d70a352718e8b99cb0bbef,66d70a35a6119ffc0cd30d32,velocity z,EM3401 Motor Redutor de Giro Traseiro
668febad57480af249f90496,668febadb05957ae16e5fa05,velocity x,EM3401 Redutor de Giro Frontal
668febad57480af249f904a2,668febadb05957ae16e5fa05,velocity y,EM3401 Redutor de Giro Frontal
668febad57480af249f904af,668febadb05957ae16e5fa05,velocity z,EM3401 Redutor de Giro Frontal
668febad57480af249f904be,668febadb05957ae16e5fa05,temperature,EM3401 Redutor de Giro Frontal
668febad57480af249f904d1,668febadb05957ae16e5fa05,acceleration x,EM3401 Redutor de Giro Frontal
668febad57480af249f904e5,668febadb05957ae16e5fa05,acceleration y,EM3401 Redutor de Giro Frontal
668febad57480af249f904f0,668febadb05957ae16e5fa05,acceleration z,EM3401 Redutor de Giro Frontal
66ddda0c2718e8b99c2d80a7,66ddda0b13eff3dbf760a767,acceleration x,EM3401 Redutor Giro Traseiro
66ddda0c2718e8b99c2d80b2,66ddda0b13eff3dbf760a767,acceleration y,EM3401 Redutor Giro Traseiro
66ddda0c2718e8b99c2d80bd,66ddda0b13eff3dbf760a767,acceleration z,EM3401 Redutor Giro Traseiro
66ddda0c2718e8b99c2d80c8,66ddda0b13eff3dbf760a767,velocity x,EM3401 Redutor Giro Traseiro
66ddda0c2718e8b99c2d80d3,66ddda0b13eff3dbf760a767,velocity y,EM3401 Redutor Giro Traseiro
66ddda0c2718e8b99c2d80e3,66ddda0b13eff3dbf760a767,velocity z,EM3401 Redutor Giro Traseiro
66ddda0c2718e8b99c2d80f4,66ddda0b13eff3dbf760a767,temperature,EM3401 Redutor Giro Traseiro
66dedc242718e8b99c5138e0,66dedc24efc0bac50c80870f,acceleration x,6030 6P3000101_Redutor Giro LD
66dedc242718e8b99c5138f3,66dedc24efc0bac50c80870f,acceleration y,6030 6P3000101_Redutor Giro LD
66dedc242718e8b99c513903,66dedc24efc0bac50c80870f,acceleration z,6030 6P3000101_Redutor Giro LD
66dedc242718e8b99c51390e,66dedc24efc0bac50c80870f,temperature,6030 6P3000101_Redutor Giro LD
66dedc242718e8b99c513918,66dedc24efc0bac50c80870f,velocity x,6030 6P3000101_Redutor Giro LD
66dedc242718e8b99c513924,66dedc24efc0bac50c80870f,velocity y,6030 6P3000101_Redutor Giro LD
66dedc242718e8b99c513939,66dedc24efc0bac50c80870f,velocity z,6030 6P3000101_Redutor Giro LD
66dedf282718e8b99c5b5bea,66dedf28ea40c41c2eef012b,acceleration x,6030 6P3000111_Redutor Giro LD
66dedf282718e8b99c5b5bf5,66dedf28ea40c41c2eef012b,acceleration y,6030 6P3000111_Redutor Giro LD
66dedf282718e8b99c5b5c01,66dedf28ea40c41c2eef012b,acceleration z,6030 6P3000111_Redutor Giro LD
66dedf282718e8b99c5b5c0c,66dedf28ea40c41c2eef012b,temperature,6030 6P3000111_Redutor Giro LD
66dedf282718e8b99c5b5c17,66dedf28ea40c41c2eef012b,velocity x,6030 6P3000111_Redutor Giro LD
66dedf282718e8b99c5b5c22,66dedf28ea40c41c2eef012b,velocity y,6030 6P3000111_Redutor Giro LD
66dedf282718e8b99c5b5c33,66dedf28ea40c41c2eef012b,velocity z,6030 6P3000111_Redutor Giro LD
